id,rua,terreno,casa_new,vertex_pos,vertex_ind,vertex_par,vertex_p_1,vertex_p_2,distance,angle,ponto,x_dms,y_dms,x,y
"38",rua Kokama,"46",46,"3","3","0","0","3",0.000329991928681,203.599266304965880,"3","59°54′50,6″W","3°4′7,9″S",-59.9140682037217,-3.06886296227052
"38",rua Kokama,"46",46,"4","4","0","0","4",0.000513191503916,294.794020357802026,"4","59°54′51,3″W","3°4′8,1″S",-59.9142400017474,-3.06892658241443
"39",rua Kokama,"48",,"1","1","0","0","1",0.000064493519998,24.499269879588294,"1","59°54′51,3″W","3°4′8,1″S",-59.9142400017474,-3.06892658241443
"39",rua Kokama,"48",,"2","2","0","0","2",0.000247693095234,113.394942621967388,"2","59°54′50,6″W","3°4′7,9″S",-59.9140682037217,-3.06886296227052
"39",rua Kokama,"48",,"3","3","0","0","3",0.000316260869204,204.012390359376781,"3","59°54′50,5″W","3°4′8,1″S",-59.9140415338843,-3.06892613077058
"39",rua Kokama,"48",,"4","4","0","0","4",0.000502171388913,295.116717616997676,"4","59°54′51,2″W","3°4′8,4″S",-59.9142172250328,-3.06898692009249
"40",rua Kokama,"50",,"1","1","0","0","1",0.000059512885491,24.960682833654246,"1","59°54′51,2″W","3°4′8,4″S",-59.9142172250328,-3.06898692009249
"40",rua Kokama,"50",,"2","2","0","0","2",0.000245423405201,114.416928746580822,"2","59°54′50,5″W","3°4′8,1″S",-59.9140415338843,-3.06892613077058
"40",rua Kokama,"50",,"3","3","0","0","3",0.000322881230361,207.132502122849189,"3","59°54′50,4″W","3°4′8,4″S",-59.9140124168371,-3.06899790759303
"40",rua Kokama,"50",,"4","4","0","0","4",0.000511705524095,297.676256209922599,"4","59°54′51,1″W","3°4′8,6″S",-59.9141959043485,-3.06904248277743
"41",rua Kokama,"52",52,"1","1","0","0","1",0.000094138516442,27.203765742385929,"1","59°54′51,1″W","3°4′8,6″S",-59.9141961765205,-3.06904255503948
"41",rua Kokama,"52",52,"2","2","0","0","2",0.000221725788447,110.676206323922244,"2","59°54′50,7″W","3°4′8,4″S",-59.9140721802867,-3.06901249766126
"41",rua Kokama,"52",52,"3","3","0","0","3",0.000293701157504,195.397509930066605,"3","59°54′50,5″W","3°4′8,7″S",-59.9140308746842,-3.06907144086232
"41",rua Kokama,"52",52,"4","4","0","0","4",0.000436304127523,291.925069348530258,"4","59°54′51,0″W","3°4′8,9″S",-59.9141609626756,-3.06912985936586
